ano,rede,ensino,ano_escolar,taxa_aprovacao
2005,estadual,fundamental,1,91.7
2005,estadual,fundamental,2,82.4
2005,estadual,fundamental,3,84.1
2005,estadual,fundamental,4,88.6
2005,estadual,fundamental,5,85.7
2005,estadual,fundamental,6,73.8
2005,estadual,fundamental,7,76.9
2005,estadual,fundamental,8,78.4
2005,estadual,fundamental,9,76.5
2005,estadual,medio,1,62.7
2005,estadual,medio,2,72.7
2005,estadual,medio,3,79.4
2005,estadual,medio,4,89.3
2005,municipal,fundamental,1,88.9
2005,municipal,fundamental,2,71.7
2005,municipal,fundamental,3,76.1
2005,municipal,fundamental,4,81
2005,municipal,fundamental,5,82.4
2005,municipal,fundamental,6,67.3
2005,municipal,fundamental,7,73.1
2005,municipal,fundamental,8,76.8
2005,municipal,fundamental,9,80.3
2005,privada,fundamental,1,95.1
2005,privada,fundamental,2,96.5
2005,privada,fundamental,3,97.4
2005,privada,fundamental,4,97.6
2005,privada,fundamental,5,97.3
2005,privada,fundamental,6,94.9
2005,privada,fundamental,7,94.4
2005,privada,fundamental,8,94.5
2005,privada,fundamental,9,94.2
2005,privada,medio,1,89.3
2005,privada,medio,2,93.4
2005,privada,medio,3,95.7
2005,privada,medio,4,95.1
2005,publica,fundamental,1,89.4
2005,publica,fundamental,2,74.1
2005,publica,fundamental,3,78.1
2005,publica,fundamental,4,83
2005,publica,fundamental,5,83.4
2005,publica,fundamental,6,70.8
2005,publica,fundamental,7,75.3
2005,publica,fundamental,8,77.7
2005,publica,fundamental,9,77.9
2005,publica,medio,1,62.9
2005,publica,medio,2,72.9
2005,publica,medio,3,79.6
2005,publica,medio,4,90
2005,total,fundamental,1,89.5
2005,total,fundamental,2,76.2
2005,total,fundamental,3,80.1
2005,total,fundamental,4,84.6
2005,total,fundamental,5,84.8
2005,total,fundamental,6,72.9
2005,total,fundamental,7,77.1
2005,total,fundamental,8,79.5
2005,total,fundamental,9,79.7
2005,total,medio,1,65.6
2005,total,medio,2,75.3
2005,total,medio,3,81.8
2005,total,medio,4,90.3
2007,estadual,fundamental,1,94
2007,estadual,fundamental,2,86.3
2007,estadual,fundamental,3,86.2
2007,estadual,fundamental,4,90.6
2007,estadual,fundamental,5,86.8
2007,estadual,fundamental,6,76.3
2007,estadual,fundamental,7,79.4
2007,estadual,fundamental,8,81
2007,estadual,fundamental,9,78.3
2007,estadual,medio,1,64.8
2007,estadual,medio,2,73.9
2007,estadual,medio,3,79.6
2007,estadual,medio,4,88.8
2007,municipal,fundamental,1,92.1
2007,municipal,fundamental,2,78.6
2007,municipal,fundamental,3,80.6
2007,municipal,fundamental,4,85.2
2007,municipal,fundamental,5,85.9
2007,municipal,fundamental,6,72.3
2007,municipal,fundamental,7,77.6
2007,municipal,fundamental,8,81.2
2007,municipal,fundamental,9,83.1
2007,privada,fundamental,1,97.3
2007,privada,fundamental,2,97.8
2007,privada,fundamental,3,98.1
2007,privada,fundamental,4,97.8
2007,privada,fundamental,5,97.7
2007,privada,fundamental,6,95.6
2007,privada,fundamental,7,94.8
2007,privada,fundamental,8,94.9
2007,privada,fundamental,9,94.9
2007,privada,medio,1,90.3
2007,privada,medio,2,94.5
2007,privada,medio,3,97
2007,privada,medio,4,96.3
2007,publica,fundamental,1,92.5
2007,publica,fundamental,2,80.3
2007,publica,fundamental,3,82
2007,publica,fundamental,4,86.5
2007,publica,fundamental,5,86.2
2007,publica,fundamental,6,74.5
2007,publica,fundamental,7,78.7
2007,publica,fundamental,8,81.1
2007,publica,fundamental,9,80
2007,publica,medio,1,64.9
2007,publica,medio,2,74.2
2007,publica,medio,3,79.9
2007,publica,medio,4,89.4
2007,total,fundamental,1,93
2007,total,fundamental,2,81.9
2007,total,fundamental,3,83.3
2007,total,fundamental,4,87.5
2007,total,fundamental,5,87.2
2007,total,fundamental,6,76.2
2007,total,fundamental,7,80
2007,total,fundamental,8,82.4
2007,total,fundamental,9,81.5
2007,total,medio,1,67.1
2007,total,medio,2,76.2
2007,total,medio,3,81.8
2007,total,medio,4,89.8
2009,estadual,fundamental,1,96.2
2009,estadual,fundamental,2,91.1
2009,estadual,fundamental,3,88.8
2009,estadual,fundamental,4,92.2
2009,estadual,fundamental,5,90.1
2009,estadual,fundamental,6,77.9
2009,estadual,fundamental,7,81.1
2009,estadual,fundamental,8,82.3
2009,estadual,fundamental,9,80.8
2009,estadual,medio,1,66.2
2009,estadual,medio,2,75.8
2009,estadual,medio,3,82.1
2009,estadual,medio,4,90
2009,municipal,fundamental,1,94.2
2009,municipal,fundamental,2,83.3
2009,municipal,fundamental,3,82
2009,municipal,fundamental,4,86.7
2009,municipal,fundamental,5,87.3
2009,municipal,fundamental,6,73.3
2009,municipal,fundamental,7,78.1
2009,municipal,fundamental,8,81.9
2009,municipal,fundamental,9,84.6
2009,privada,fundamental,1,97.4
2009,privada,fundamental,2,97.4
2009,privada,fundamental,3,97.8
2009,privada,fundamental,4,97.9
2009,privada,fundamental,5,97.6
2009,privada,fundamental,6,95.2
2009,privada,fundamental,7,94.3
2009,privada,fundamental,8,94.5
2009,privada,fundamental,9,94.3
2009,privada,medio,1,89.5
2009,privada,medio,2,94.1
2009,privada,medio,3,96.9
2009,privada,medio,4,92.7
2009,publica,fundamental,1,94.5
2009,publica,fundamental,2,84.9
2009,publica,fundamental,3,83.5
2009,publica,fundamental,4,88
2009,publica,fundamental,5,88
2009,publica,fundamental,6,75.7
2009,publica,fundamental,7,79.8
2009,publica,fundamental,8,82.1
2009,publica,fundamental,9,82.2
2009,publica,medio,1,66.4
