ano,regiao,rede,ensino,ano_escolar,taxa_aprovacao
2005,Centro-Oeste,estadual,fundamental,1,89.7
2005,Centro-Oeste,estadual,fundamental,2,78.5
2005,Centro-Oeste,estadual,fundamental,3,80.4
2005,Centro-Oeste,estadual,fundamental,4,84.9
2005,Centro-Oeste,estadual,fundamental,5,86
2005,Centro-Oeste,estadual,fundamental,6,69.4
2005,Centro-Oeste,estadual,fundamental,7,72.3
2005,Centro-Oeste,estadual,fundamental,8,73.9
2005,Centro-Oeste,estadual,fundamental,9,73.3
2005,Centro-Oeste,estadual,medio,1,61
2005,Centro-Oeste,estadual,medio,2,70.6
2005,Centro-Oeste,estadual,medio,3,76.7
2005,Centro-Oeste,estadual,medio,4,71.7
2005,Centro-Oeste,privada,fundamental,1,97.3
2005,Centro-Oeste,privada,fundamental,2,96.6
2005,Centro-Oeste,privada,fundamental,3,97.4
2005,Centro-Oeste,privada,fundamental,4,97.6
2005,Centro-Oeste,privada,fundamental,5,97.3
2005,Centro-Oeste,privada,fundamental,6,94.8
2005,Centro-Oeste,privada,fundamental,7,94.1
2005,Centro-Oeste,privada,fundamental,8,94.1
2005,Centro-Oeste,privada,fundamental,9,94.4
2005,Centro-Oeste,privada,medio,1,89.2
2005,Centro-Oeste,privada,medio,2,93.6
2005,Centro-Oeste,privada,medio,3,95.1
2005,Centro-Oeste,privada,medio,4,100
2005,Centro-Oeste,publica,fundamental,1,90.7
2005,Centro-Oeste,publica,fundamental,2,76.5
2005,Centro-Oeste,publica,fundamental,3,80.2
2005,Centro-Oeste,publica,fundamental,4,84.1
2005,Centro-Oeste,publica,fundamental,5,85.5
2005,Centro-Oeste,publica,fundamental,6,70
2005,Centro-Oeste,publica,fundamental,7,72.8
2005,Centro-Oeste,publica,fundamental,8,74.2
2005,Centro-Oeste,publica,fundamental,9,75
2005,Centro-Oeste,total,fundamental,1,90.8
2005,Centro-Oeste,total,fundamental,2,78.8
2005,Centro-Oeste,total,fundamental,3,82.2
2005,Centro-Oeste,total,fundamental,4,85.7
2005,Centro-Oeste,total,fundamental,5,87
2005,Centro-Oeste,total,fundamental,6,72.6
2005,Centro-Oeste,total,fundamental,7,75.2
2005,Centro-Oeste,total,fundamental,8,76.7
2005,Centro-Oeste,total,fundamental,9,77.4
2005,Centro-Oeste,total,medio,1,64.5
2005,Centro-Oeste,total,medio,2,74
2005,Centro-Oeste,total,medio,3,79.7
2005,Centro-Oeste,total,medio,4,83.9
2005,Nordeste,estadual,fundamental,1,80
2005,Nordeste,estadual,fundamental,2,68.4
2005,Nordeste,estadual,fundamental,3,70.1
2005,Nordeste,estadual,fundamental,4,77.6
2005,Nordeste,estadual,fundamental,5,77
2005,Nordeste,estadual,fundamental,6,58.8
2005,Nordeste,estadual,fundamental,7,67.1
2005,Nordeste,estadual,fundamental,8,70.5
2005,Nordeste,estadual,fundamental,9,73
2005,Nordeste,estadual,medio,1,60.1
2005,Nordeste,estadual,medio,2,70.9
2005,Nordeste,estadual,medio,3,78.1
2005,Nordeste,estadual,medio,4,89.4
2005,Nordeste,privada,fundamental,1,91.6
2005,Nordeste,privada,fundamental,2,95.1
2005,Nordeste,privada,fundamental,3,96.6
2005,Nordeste,privada,fundamental,4,96.5
2005,Nordeste,privada,fundamental,5,96.4
2005,Nordeste,privada,fundamental,6,92.5
2005,Nordeste,privada,fundamental,7,92.3
2005,Nordeste,privada,fundamental,8,92.4
2005,Nordeste,privada,fundamental,9,91.7
2005,Nordeste,privada,medio,1,87.3
