ano,sigla_uf,rede,ensino,anos_escolares,taxa_aprovacao,indicador_rendimento,nota_saeb_matematica,nota_saeb_lingua_portuguesa,nota_saeb_media_padronizada,ideb,projecao
2005,AC,estadual,fundamental,finais (6-9),82.9,0.83416301,224.91,227.27,4.2029881,3.5,
2005,AC,estadual,fundamental,iniciais (1-5),78.4,0.78982502,169.19,166.8,4.2297111,3.3,
2005,AC,estadual,medio,todos (1-4),72.7,0.77031702,249.88,245.24,3.8705029,3,
2005,AC,privada,fundamental,finais (6-9),95.9,0.958336,256.67,257.54,5.2368779,5,
2005,AC,privada,fundamental,iniciais (1-5),98.9,0.98821801,212.82,203.67,5.7288251,5.7,
2005,AC,privada,medio,todos (1-4),93.4,0.93538898,322.8,319.48,6.0059438,5.6,
2005,AC,publica,fundamental,finais (6-9),81.1,0.81844902,223.05,224.69,4.1293478,3.4,
2005,AC,publica,fundamental,iniciais (1-5),73.8,0.78180897,169.1,167.64,4.2431669,3.3,
2005,AC,total,fundamental,finais (6-9),82.1,0.82702303,226.69,228.25,4.24895,3.5,
2005,AC,total,fundamental,iniciais (1-5),74.8,0.78989202,172.33,170.32,4.3535419,3.4,
2005,AC,total,medio,todos (1-4),74.2,0.78250998,257.1,252.58,4.0815711,3.2,
2005,AL,estadual,fundamental,finais (6-9),63.9,0.64127702,220.86,211.3,3.869298,2.5,
2005,AL,estadual,fundamental,iniciais (1-5),73.7,0.73558301,163.86,154.75,3.908694,2.9,
2005,AL,estadual,medio,todos (1-4),68.7,0.743931,251.46,235.83,3.7517409,2.8,
2005,AL,privada,fundamental,finais (6-9),90.8,0.90796298,272.36,250.25,5.3772249,4.9,
2005,AL,privada,fundamental,iniciais (1-5),93.8,0.93803298,204.3,197.27,5.4497499,5.1,
2005,AL,privada,medio,todos (1-4),83.9,0.865206,298.66,281.85,5.1036959,4.4,
2005,AL,publica,fundamental,finais (6-9),60.8,0.61823499,212.77,205.6,3.6395421,2.3,
2005,AL,publica,fundamental,iniciais (1-5),67.1,0.67560297,154.33,144.52,3.5405021,2.4,
2005,AL,total,fundamental,finais (6-9),62.8,0.63688701,218.71,210.03,3.812542,2.4,
2005,AL,total,fundamental,iniciais (1-5),68.5,0.68718201,158.16,148.55,3.6866901,2.5,
2005,AL,total,medio,todos (1-4),70.7,0.76093,258.98,243.27,3.9690189,3,
2005,AM,estadual,fundamental,finais (6-9),68.5,0.68700498,216.33,215.22,3.8594069,2.7,
2005,AM,estadual,fundamental,iniciais (1-5),77.2,0.78496999,172.44,159.61,4.1608109,3.3,
2005,AM,estadual,medio,todos (1-4),66.3,0.667189,236.75,226.88,3.411052,2.3,
2005,AM,privada,fundamental,finais (6-9),94.8,0.94693202,278.64,269.01,5.794313,5.5,
2005,AM,privada,fundamental,iniciais (1-5),97.5,0.97966403,211.03,201.17,5.6492939,5.5,
2005,AM,privada,medio,todos (1-4),92.8,0.93005502,317.75,295.3,5.573101,5.2,
2005,AM,publica,fundamental,finais (6-9),67.8,0.68362498,214.61,214.1,3.8118,2.6,
2005,AM,publica,fundamental,iniciais (1-5),71.6,0.73391598,167.27,157.02,4.0149212,2.9,
2005,AM,total,fundamental,finais (6-9),69.2,0.69743502,218.61,217.53,3.9360471,2.7,
2005,AM,total,fundamental,iniciais (1-5),72.9,0.745704,170.1,159.86,4.1205959,3.1,
2005,AM,total,medio,todos (1-4),68.2,0.68443698,241.99,231.27,3.5503991,2.4,
2005,AP,estadual,fundamental,finais (6-9),85.3,0.85562301,224.08,221.14,4.0873499,3.5,
2005,AP,estadual,fundamental,iniciais (1-5),78.7,0.78588802,162.21,155.44,3.889369,3.1,
2005,AP,estadual,medio,todos (1-4),68.1,0.689273,253.16,244.49,3.905304,2.7,
2005,AP,privada,fundamental,finais (6-9),95.2,0.951756,244.49,250.66,4.9194279,4.7,
2005,AP,privada,fundamental,iniciais (1-5),91.6,0.91828102,204,190.83,5.3270979,4.9,
2005,AP,privada,medio,todos (1-4),94.8,0.94801003,292.51,292.45,5.1757421,4.9,
2005,AP,publica,fundamental,finais (6-9),84.3,0.84708101,223.22,220.66,4.0648251,3.4,
2005,AP,publica,fundamental,iniciais (1-5),78.1,0.78457499,160.28,154.99,3.844559,3,
2005,AP,total,fundamental,finais (6-9),85,0.854375,225,223.16,4.1364079,3.5,
2005,AP,total,fundamental,iniciais (1-5),79.1,0.79462302,164.5,158.44,3.9877901,3.2,
2005,AP,total,medio,todos (1-4),70,0.70756,260.27,253.16,4.1349339,2.9,
2005,BA,estadual,fundamental,finais (6-9),63.6,0.63926297,224.33,224.22,4.1424952,2.6,
2005,BA,estadual,fundamental,iniciais (1-5),65.3,0.63734102,167.35,160,4.0709128,2.6,
2005,BA,estadual,medio,todos (1-4),66.7,0.71353298,255.3,237.07,3.824177,2.7,
2005,BA,privada,fundamental,finais (6-9),90.6,0.90647101,285.57,268.92,5.9082198,5.4,
2005,BA,privada,fundamental,iniciais (1-5),95.8,0.95554399,217.1,203.05,5.7991261,5.5,
2005,BA,privada,medio,todos (1-4),90,0.91739899,327.2,302.3,5.8108058,5.3,
2005,BA,publica,fundamental,finais (6-9),63.6,0.64569801,220.05,219.44,3.9914119,2.6,
2005,BA,publica,fundamental,iniciais (1-5),64.8,0.66160399,161.58,150.08,3.780103,2.5,
2005,BA,total,fundamental,finais (6-9),65.3,0.662992,227.14,224.8,4.1992078,2.8,
2005,BA,total,fundamental,iniciais (1-5),66.9,0.67959303,166.5,154.77,3.959538,2.7,
2005,BA,total,medio,todos (1-4),68.9,0.73366302,262.04,243.13,4.0098591,2.9,
2005,CE,estadual,fundamental,finais (6-9),75.4,0.75162798,213.88,207.58,3.691,2.8,
2005,CE,estadual,fundamental,iniciais (1-5),78.7,0.80493301,158.91,162.33,3.9517429,3.2,
2005,CE,estadual,medio,todos (1-4),69.8,0.74369103,253.78,248.25,3.970516,3,
2005,CE,privada,fundamental,finais (6-9),93.4,0.93295997,285.32,271.14,5.9412398,5.5,
2005,CE,privada,fundamental,iniciais (1-5),96.8,0.96655601,209.05,200.8,5.6048589,5.4,
2005,CE,privada,medio,todos (1-4),92.2,0.94025898,327.92,306.69,5.886404,5.5,
2005,CE,publica,fundamental,finais (6-9),74.1,0.74463201,216.5,209.96,3.77437,2.8,
2005,CE,publica,fundamental,iniciais (1-5),79.2,0.79970098,150.02,149.82,3.5541041,2.8,
2005,CE,total,fundamental,finais (6-9),76.2,0.76471901,225.47,217.92,4.0565829,3.1,
2005,CE,total,fundamental,iniciais (1-5),81.3,0.82033998,158.36,157.02,3.8444481,3.2,
2005,CE,total,medio,todos (1-4),72.5,0.76810199,265.95,257.79,4.2839189,3.3,
