ano,sigla_uf,rede,ensino,ano_escolar,taxa_aprovacao
2005,AC,estadual,fundamental,1,
2005,AC,estadual,fundamental,2,66.2
2005,AC,estadual,fundamental,3,79.9
2005,AC,estadual,fundamental,4,85.3
2005,AC,estadual,fundamental,5,88.5
2005,AC,estadual,fundamental,6,78.8
2005,AC,estadual,fundamental,7,83.2
2005,AC,estadual,fundamental,8,85.7
2005,AC,estadual,fundamental,9,86.4
2005,AC,estadual,medio,1,66.9
2005,AC,estadual,medio,2,74.6
2005,AC,estadual,medio,3,80
2005,AC,estadual,medio,4,90.3
2005,AC,privada,fundamental,1,
2005,AC,privada,fundamental,2,97.9
2005,AC,privada,fundamental,3,99
2005,AC,privada,fundamental,4,99
2005,AC,privada,fundamental,5,99.4
2005,AC,privada,fundamental,6,98
2005,AC,privada,fundamental,7,95
2005,AC,privada,fundamental,8,95.5
2005,AC,privada,fundamental,9,94.9
2005,AC,privada,medio,1,90.4
2005,AC,privada,medio,2,94.3
2005,AC,privada,medio,3,96.1
2005,AC,privada,medio,4,
2005,AC,publica,fundamental,1,97
2005,AC,publica,fundamental,2,59.5
2005,AC,publica,fundamental,3,76.5
2005,AC,publica,fundamental,4,82.2
2005,AC,publica,fundamental,5,86.2
2005,AC,publica,fundamental,6,76.3
2005,AC,publica,fundamental,7,82
2005,AC,publica,fundamental,8,84.4
2005,AC,publica,fundamental,9,85.3
2005,AC,total,fundamental,1,97
2005,AC,total,fundamental,2,60.6
2005,AC,total,fundamental,3,77.4
2005,AC,total,fundamental,4,83
2005,AC,total,fundamental,5,86.8
2005,AC,total,fundamental,6,77.3
2005,AC,total,fundamental,7,82.7
2005,AC,total,fundamental,8,85.3
2005,AC,total,fundamental,9,86.1
2005,AC,total,medio,1,68.4
2005,AC,total,medio,2,76.2
2005,AC,total,medio,3,81.3
2005,AC,total,medio,4,90.3
2005,AL,estadual,fundamental,1,73.7
2005,AL,estadual,fundamental,2,72.8
2005,AL,estadual,fundamental,3,68.3
2005,AL,estadual,fundamental,4,74.8
2005,AL,estadual,fundamental,5,79
2005,AL,estadual,fundamental,6,56.2
2005,AL,estadual,fundamental,7,62.7
2005,AL,estadual,fundamental,8,67.3
2005,AL,estadual,fundamental,9,72.6
2005,AL,estadual,medio,1,60.9
2005,AL,estadual,medio,2,70.5
2005,AL,estadual,medio,3,79.2
2005,AL,estadual,medio,4,94.9
2005,AL,privada,fundamental,1,
2005,AL,privada,fundamental,2,89.7
2005,AL,privada,fundamental,3,94
2005,AL,privada,fundamental,4,95.3
